,A,B,C,D,Return,Beta,Risk,SharpeRatio,TreynorRatio,InformationRatio,DownRisk,SortioRatio,Efficient
2010,HDFC,TCS,HINDZINC,ICICIBANK,0.010389911144589745,1.009393873840024,0.013844700245007748,-4.233395293375487,-0.05806463698104354,-9.632708964183031,0.006747332710101649,-8.686408596342552,0.750461256706243
2011,HDFC,TCS,HINDZINC,EICHERMOT,-0.07010872754045847,0.6974480261397689,0.012312507707749089,-11.29816369194295,-0.19945389810678313,-17.369378514741108,0.005495491208069539,-25.313247219137068,-5.69410628643378
2012,HDFC,TCS,HINDZINC,WIPRO,0.027044790025543462,0.5235078141631646,0.011983396231350217,-3.501111802069594,-0.08014247130488893,-9.739066206476387,0.005109156582942073,-8.211768281781046,2.2568551939216164
2013,HDFC,TCS,HINDZINC,SUNPHARMA,0.06136081231569122,0.7873509817905544,0.014421755175271425,-0.5296988883438742,-0.009702391768072898,-5.7129708543856905,0.0065360060098765,-1.1687852907058653,4.254739563247119
2014,HDFC,TCS,HINDZINC,ITC,0.01444332077373904,0.7214123899390024,0.011937704189533641,-4.57011485291229,-0.07562481596812318,-10.831945278115944,0.004881952824820114,-11.175175423427246,1.209890992809337
2015,HDFC,TCS,HINDZINC,VIDEOIND,-0.6503631409715047,0.5497383072047742,0.017985434327727062,-39.99698466344545,-1.3085556009898838,-44.153230097333164,0.008485617311861975,-84.77440291420082,-36.16054686924513
2016,WIPRO,LT,ICICIBANK,EICHERMOT,0.036738883292065594,1.085388606044638,0.010627868247834934,-3.0355209488512918,-0.029723102424577718,-10.069093209810681,0.00650435146341073,-4.959928271006659,3.4568440664994027
2017,WIPRO,LT,ICICIBANK,HDFC,0.10575784039159256,1.2083633774862723,0.009998013685928838,3.6765143103700066,0.03041952534845847,-3.8001587218252117,0.005977343487163876,6.149527874804026,10.577885139368801
2018,WIPRO,LT,ICICIBANK,SUNPHARMA,0.16820842314821527,1.1752915616954236,0.011637468912869476,8.524914127891167,0.08441175482031163,2.1015346232260828,0.006926446688830312,14.323133867210759,14.454038451797656
2019,WIPRO,LT,ICICIBANK,ITC,0.12129093160626311,1.1093529698438716,0.009836667991203727,5.315919135730044,0.04713642368814539,-2.283389834334662,0.006440935927464633,8.118530007927987,12.330489522948774
